scope,item_key,item_id,item_name,quality,added_at,last_velocity,is_active
,,24233,,,2026-08-06T07:29:22Z,,1
,,47979,,,2026-08-06T07:29:22Z,,1
,,20011,,,2026-08-06T07:29:22Z,,1
,,20747,,,2026-08-06T07:29:22Z,,1
,,52268,,,2026-08-06T07:29:22Z,,1
,,35812,,,2026-08-06T07:29:22Z,,1
,,8049,,,2026-08-06T07:29:22Z,,1
,,52255,,,2026-08-06T07:29:22Z,,1
,,32798,,,2026-08-06T07:29:22Z,,1
,,44147,,,2026-08-06T07:29:22Z,,1
,,10591,,,2026-08-06T07:29:22Z,,1
,,12895,,,2026-08-06T07:29:22Z,,1
,,32858,,,2026-08-06T07:29:22Z,,1
,,45986,,,2026-08-06T07:29:22Z,,1
,,44048,,,2026-08-06T07:29:22Z,,1
,,37814,,,2026-08-06T07:29:22Z,,1
,,23369,,,2026-08-06T07:29:22Z,,1
,,52359,,,2026-08-06T07:29:22Z,,1
,,49294,,,2026-08-06T07:29:22Z,,1
,,50447,,,2026-08-06T07:29:22Z,,1
,,48209,,,2026-08-06T07:29:22Z,,1
,,28975,,,2026-08-06T07:29:22Z,,1
,,49235,,,2026-08-06T07:29:22Z,,1
,,52295,,,2026-08-06T07:29:22Z,,1
,,44030,,,2026-08-06T07:29:22Z,,1
,,8048,,,2026-08-06T07:29:22Z,,1
,,52612,,,2026-08-06T07:29:22Z,,1
,,41759,,,2026-08-06T07:29:22Z,,1
,,51960,,,2026-08-06T07:29:22Z,,1
,,12610,,,2026-08-06T07:29:22Z,,1
,,31998,,,2026-08-06T07:29:22Z,,1
,,37826,,,2026-08-06T07:29:22Z,,1
,,24299,,,2026-08-06T07:29:22Z,,1
,,42923,,,2026-08-06T07:29:22Z,,1
,,28590,,,2026-08-06T07:29:22Z,,1
,,5300,,,2026-08-06T07:29:22Z,,1
,,28642,,,2026-08-06T07:29:22Z,,1
,,44008,,,2026-08-06T07:29:22Z,,1
,,28998,,,2026-08-06T07:29:22Z,,1
,,49249,,,2026-08-06T07:29:22Z,,1
,,43557,,,2026-08-06T07:29:22Z,,1
,,21800,,,2026-08-06T07:29:22Z,,1
,,38453,,,2026-08-06T07:29:22Z,,1
,,27908,,,2026-08-06T07:29:22Z,,1
,,31989,,,2026-08-06T07:29:22Z,,1
,,45968,,,2026-08-06T07:29:22Z,,1
,,27795,,,2026-08-06T07:29:22Z,,1
,,38553,,,2026-08-06T07:29:22Z,,1
,,32828,,,2026-08-06T07:29:22Z,,1
,,51962,,,2026-08-06T07:29:22Z,,1
,,32934,,,2026-08-06T07:29:22Z,,1
,,10386,,,2026-08-06T07:29:22Z,,1
,,51283,,,2026-08-06T07:29:22Z,,1
,,34139,,,2026-08-06T07:29:22Z,,1
,,36212,,,2026-08-06T07:29:22Z,,1
,,33274,,,2026-08-06T07:29:22Z,,1
,,16703,,,2026-08-06T07:29:22Z,,1
,,49264,,,2026-08-06T07:29:22Z,,1
,,49315,,,2026-08-06T07:29:22Z,,1
,,45983,,,2026-08-06T07:29:22Z,,1
,,49835,,,2026-08-06T07:29:22Z,,1
,,24818,,,2026-08-06T07:29:22Z,,1
,,41761,,,2026-08-06T07:29:22Z,,1
,,46852,,,2026-08-06T07:29:22Z,,1
,,23027,,,2026-08-06T07:29:22Z,,1
,,5671,,,2026-08-06T07:29:22Z,,1
,,8,,,2026-08-06T07:29:22Z,,1
,,39702,,,2026-08-06T07:29:22Z,,1
,,44032,,,2026-08-06T07:29:22Z,,1
,,18661,,,2026-08-06T07:29:22Z,,1
,,44012,,,2026-08-06T07:29:22Z,,1
,,29685,,,2026-08-06T07:29:22Z,,1
,,27672,,,2026-08-06T07:29:22Z,,1
,,48208,,,2026-08-06T07:29:22Z,,1
,,46854,,,2026-08-06T07:29:22Z,,1
,,48156,,,2026-08-06T07:29:22Z,,1
,,36194,,,2026-08-06T07:29:22Z,,1
,,46052,,,2026-08-06T07:29:22Z,,1
,,8147,,,2026-08-06T07:29:22Z,,1
,,5346,,,2026-08-06T07:29:22Z,,1
,,20476,,,2026-08-06T07:29:22Z,,1
,,26496,,,2026-08-06T07:29:22Z,,1
,,33655,,,2026-08-06T07:29:22Z,,1
,,31322,,,2026-08-06T07:29:22Z,,1
,,7671,,,2026-08-06T07:29:22Z,,1
,,36091,,,2026-08-06T07:29:22Z,,1
,,2151,,,2026-08-06T07:29:22Z,,1
,,24902,,,2026-08-06T07:29:22Z,,1
,,7963,,,2026-08-06T07:29:22Z,,1
,,49254,,,2026-08-06T07:29:22Z,,1
,,44145,,,2026-08-06T07:29:22Z,,1
,,39712,,,2026-08-06T07:29:22Z,,1
,,38570,,,2026-08-06T07:29:22Z,,1
,,20774,,,2026-08-06T07:29:22Z,,1
,,27696,,,2026-08-06T07:29:22Z,,1
,,33769,,,2026-08-06T07:29:22Z,,1
,,24816,,,2026-08-06T07:29:22Z,,1
,,11877,,,2026-08-06T07:29:22Z,,1
,,49234,,,2026-08-06T07:29:22Z,,1
,,20477,,,2026-08-06T07:29:22Z,,1
,,48111,,,2026-08-06T07:29:22Z,,1
,,24501,,,2026-08-06T07:29:22Z,,1
,,44041,,,2026-08-06T07:29:22Z,,1
,,4955,,,2026-08-06T07:29:22Z,,1
,,5486,,,2026-08-06T07:29:22Z,,1
,,51285,,,2026-08-06T07:29:22Z,,1
,,47896,,,2026-08-06T07:29:22Z,,1
,,49310,,,2026-08-06T07:29:22Z,,1
,,36043,,,2026-08-06T07:29:22Z,,1
,,35559,,,2026-08-06T07:29:22Z,,1
,,45976,,,2026-08-06T07:29:22Z,,1
,,5532,,,2026-08-06T07:29:22Z,,1
,,46061,,,2026-08-06T07:29:22Z,,1
,,52292,,,2026-08-06T07:29:22Z,,1
,,41757,,,2026-08-06T07:29:22Z,,1
,,49302,,,2026-08-06T07:29:22Z,,1
,,49279,,,2026-08-06T07:29:22Z,,1
,,15921,,,2026-08-06T07:29:22Z,,1
,,5477,,,2026-08-06T07:29:22Z,,1
,,50054,,,2026-08-06T07:29:22Z,,1
,,44009,,,2026-08-06T07:29:22Z,,1
,,32830,,,2026-08-06T07:29:22Z,,1
,,44019,,,2026-08-06T07:29:22Z,,1
,,36838,,,2026-08-06T07:29:22Z,,1
,,52285,,,2026-08-06T07:29:22Z,,1
,,16,,,2026-08-06T07:29:22Z,,1
,,13718,,,2026-08-06T07:29:22Z,,1
,,49283,,,2026-08-06T07:29:22Z,,1
,,44031,,,2026-08-06T07:29:22Z,,1
,,39591,,,2026-08-06T07:29:22Z,,1
,,17836,,,2026-08-06T07:29:22Z,,1
,,41774,,,2026-08-06T07:29:22Z,,1
,,7958,,,2026-08-06T07:29:22Z,,1
,,43997,,,2026-08-06T07:29:22Z,,1
,,14152,,,2026-08-06T07:29:22Z,,1
,,46185,,,2026-08-06T07:29:22Z,,1
,,47336,,,2026-08-06T07:29:22Z,,1
,,20471,,,2026-08-06T07:29:22Z,,1
,,6,,,2026-08-06T07:29:22Z,,1
,,24233,,,2026-08-06T07:29:22Z,,1
,,7107,,,2026-08-06T07:29:22Z,,1
,,45027,,,2026-08-06T07:29:22Z,,1
,,36057,,,2026-08-06T07:29:22Z,,1
,,51957,,,2026-08-06T07:29:22Z,,1
,,39674,,,2026-08-06T07:29:22Z,,1
,,49287,,,2026-08-06T07:29:22Z,,1
,,8184,,,2026-08-06T07:29:22Z,,1
,,38451,,,2026-08-06T07:29:22Z,,1
,,33933,,,2026-08-06T07:29:22Z,,1
,,7906,,,2026-08-06T07:29:22Z,,1
,,16,,,2026-08-06T07:29:22Z,,1
,,21867,,,2026-08-06T07:29:22Z,,1
,,46812,,,2026-08-06T07:29:22Z,,1
,,3249,,,2026-08-06T07:29:22Z,,1
,,41762,,,2026-08-06T07:29:22Z,,1
,,27687,,,2026-08-06T07:29:22Z,,1
,,28612,,,2026-08-06T07:29:22Z,,1
,,49262,,,2026-08-06T07:29:22Z,,1
,,49257,,,2026-08-06T07:29:22Z,,1
,,39675,,,2026-08-06T07:29:22Z,,1
,,5673,,,2026-08-06T07:29:22Z,,1
,,8162,,,2026-08-06T07:29:22Z,,1
,,10,,,2026-08-06T07:29:22Z,,1
,,4699,,,2026-08-06T07:29:22Z,,1
,,36080,,,2026-08-06T07:29:22Z,,1
,,49250,,,2026-08-06T07:29:22Z,,1
,,13061,,,2026-08-06T07:29:22Z,,1
,,2547,,,2026-08-06T07:29:22Z,,1
,,19987,,,2026-08-06T07:29:22Z,,1
,,3870,,,2026-08-06T07:29:22Z,,1
,,27835,,,2026-08-06T07:29:22Z,,1
,,26121,,,2026-08-06T07:29:22Z,,1
,,8193,,,2026-08-06T07:29:22Z,,1
,,46808,,,2026-08-06T07:29:22Z,,1
,,52255,,,2026-08-06T07:29:22Z,,1
,,27865,,,2026-08-06T07:29:22Z,,1
,,49847,,,2026-08-06T07:29:22Z,,1
,,16600,,,2026-08-06T07:29:22Z,,1
,,49296,,,2026-08-06T07:29:22Z,,1
,,4848,,,2026-08-06T07:29:22Z,,1
,,5604,,,2026-08-06T07:29:22Z,,1
,,15144,,,2026-08-06T07:29:22Z,,1
,,5,,,2026-08-06T07:29:22Z,,1
,,33903,,,2026-08-06T07:29:22Z,,1
,,29508,,,2026-08-06T07:29:22Z,,1
,,50794,,,2026-08-06T07:29:22Z,,1
,,23323,,,2026-08-06T07:29:22Z,,1
